racer_id,racer_name,race_count,win_count,top2_count,top3_count,win_rate,top2_rate,top3_rate,avg_start_timing,last_race_date
3596,河上 年昭,58,5,7,12,0.086207,0.120690,0.206897,54.0000,2026-05-03
3602,奥平,52,0,5,21,0.000000,0.096154,0.403846,,2026-04-28
3604,武藤,70,8,13,28,0.114286,0.185714,0.400000,,2026-04-22
3605,中村,62,7,14,17,0.112903,0.225806,0.274194,,2026-04-28
3606,川北,77,10,31,43,0.129870,0.402597,0.558442,,2026-04-29
3611,岩崎,66,12,32,44,0.181818,0.484848,0.666667,,2026-04-28
3612,馬袋,95,19,53,67,0.200000,0.557895,0.705263,,2026-04-21
3613,角谷,95,19,46,59,0.200000,0.484211,0.621053,,2026-04-21
3614,勝幸,71,2,11,24,0.028169,0.154930,0.338028,,2026-04-28
3615,横田,63,8,19,26,0.126984,0.301587,0.412698,,2026-04-22
3616,中村,53,5,15,24,0.094340,0.283019,0.452830,,2026-04-02
3617,竹田,58,8,16,23,0.137931,0.275862,0.396552,,2026-05-02
3618,海野,86,19,42,52,0.220930,0.488372,0.604651,,2026-04-19
3619,長谷川,72,5,20,31,0.069444,0.277778,0.430556,,2026-05-01
3620,信濃,63,9,15,23,0.142857,0.238095,0.365079,,2026-04-23
3621,天野,40,1,13,23,0.025000,0.325000,0.575000,,2026-04-02
3623,深川,77,29,45,58,0.376623,0.584416,0.753247,,2026-05-02
3627,井上,80,11,28,36,0.137500,0.350000,0.450000,,2026-04-28
3629,浅見 昌克,84,22,35,53,0.261905,0.416667,0.630952,48.0000,2026-05-03
3630,黒田,44,2,5,10,0.045455,0.113636,0.227273,,2026-04-22
3631,田添,36,1,2,5,0.027778,0.055556,0.138889,,2026-04-28
3635,石田,63,7,19,27,0.111111,0.301587,0.428571,,2026-04-28
3637,齋藤,66,4,16,25,0.060606,0.242424,0.378788,,2026-04-28
3641,一瀬,88,22,37,54,0.250000,0.420455,0.613636,,2026-04-28
3642,大塚,39,4,6,10,0.102564,0.153846,0.256410,,2026-05-02
3643,米田,86,12,27,44,0.139535,0.313953,0.511628,,2026-04-28
3645,淺田,29,3,12,16,0.103448,0.413793,0.551724,,2026-04-19
3647,伊藤 雄二,70,1,8,18,0.014286,0.114286,0.257143,52.0000,2026-05-03
3652,森下,54,2,8,11,0.037037,0.148148,0.203704,,2026-04-25
3653,品川,53,3,11,24,0.056604,0.207547,0.452830,,2026-04-25
3654,武田,81,24,46,55,0.296296,0.567901,0.679012,,2026-04-19
3655,本橋,96,11,31,52,0.114583,0.322917,0.541667,,2026-05-02
3656,伯母,56,6,16,27,0.107143,0.285714,0.482143,,2026-04-23
3659,藤生,53,9,21,36,0.169811,0.396226,0.679245,,2026-04-25
3660,長谷川,45,2,4,9,0.044444,0.088889,0.200000,,2026-04-28
3661,柳瀬,68,13,24,38,0.191176,0.352941,0.558824,,2026-04-28
3662,大庭,71,14,25,34,0.197183,0.352113,0.478873,,2026-05-01
3663,木山,72,15,27,42,0.208333,0.375000,0.583333,,2026-03-25
3664,鈴木 賢一,65,6,17,35,0.092308,0.261538,0.538462,51.0000,2026-05-03
3679,飯島,78,12,33,46,0.153846,0.423077,0.589744,,2026-05-02
3680,森林,67,5,13,20,0.074627,0.194030,0.298507,,2026-04-28
3681,山谷,48,4,9,16,0.083333,0.187500,0.333333,,2026-04-28
3684,清水,58,10,26,33,0.172414,0.448276,0.568966,,2026-04-28
3685,荒井,70,12,27,37,0.171429,0.385714,0.528571,,2026-04-25
3686,鳥居塚,94,25,39,58,0.265957,0.414894,0.617021,,2026-05-02
3687,花田,57,10,18,29,0.175439,0.315789,0.508772,,2026-04-23
3690,河合,66,6,19,31,0.090909,0.287879,0.469697,,2026-04-28
3692,竹腰,71,7,15,34,0.098592,0.211268,0.478873,,2026-04-28
3696,白井,61,8,16,25,0.131148,0.262295,0.409836,,2026-04-28
3699,富永,44,1,5,9,0.022727,0.113636,0.204545,,2026-05-02
3701,大西,52,1,9,14,0.019231,0.173077,0.269231,,2026-04-28
3703,鳥飼,83,17,36,46,0.204819,0.433735,0.554217,,2026-05-01
3704,本部,37,3,4,11,0.081081,0.108108,0.297297,,2026-04-20
3708,岡部,67,2,14,30,0.029851,0.208955,0.447761,,2026-04-25
3710,吉永,73,8,18,30,0.109589,0.246575,0.410959,,2026-04-28
3711,江本,101,16,43,70,0.158416,0.425743,0.693069,,2026-04-28
3712,淺香,60,6,18,27,0.100000,0.300000,0.450000,,2026-04-22
3713,伊藤,94,23,46,62,0.244681,0.489362,0.659574,,2026-05-02
3714,梶原,73,8,19,34,0.109589,0.260274,0.465753,,2026-04-28
3715,倉尾,63,6,20,37,0.095238,0.317460,0.587302,,2026-04-10
3716,石渡,83,21,37,51,0.253012,0.445783,0.614458,,2026-04-26
3717,立間,60,7,15,29,0.116667,0.250000,0.483333,,2026-04-28
3718,伊達,65,11,15,26,0.169231,0.230769,0.400000,,2026-05-02
3719,栄蔵,85,16,38,59,0.188235,0.447059,0.694118,,2026-04-26
3721,守田,76,17,30,42,0.223684,0.394737,0.552632,,2026-04-30
3722,西村,59,0,3,9,0.000000,0.050847,0.152542,,2026-04-28
3726,桂林,47,7,18,23,0.148936,0.382979,0.489362,,2026-04-28
3730,塩崎,61,8,24,34,0.131148,0.393443,0.557377,,2026-04-28
3731,高濱,59,7,18,31,0.118644,0.305085,0.525424,,2026-04-22
3737,上平,86,24,42,61,0.279070,0.488372,0.709302,,2026-04-26
3740,大澤,98,24,45,60,0.244898,0.459184,0.612245,,2026-05-02
3741,松尾,64,4,10,15,0.062500,0.156250,0.234375,,2026-04-28
3742,宮地,59,5,15,24,0.084746,0.254237,0.406780,,2026-05-01
3743,美憲,72,10,29,39,0.138889,0.402778,0.541667,,2026-04-26
3744,徳増,91,31,45,58,0.340659,0.494505,0.637363,,2026-04-26
3745,橋本,63,6,20,35,0.095238,0.317460,0.555556,,2026-04-30
3746,岡瀬,94,14,35,55,0.148936,0.372340,0.585106,,2026-04-25
3747,國崎,64,10,23,35,0.156250,0.359375,0.546875,,2026-04-21
3748,小黒,71,3,14,27,0.042254,0.197183,0.380282,,2026-04-29
3752,宇土,66,5,12,18,0.075758,0.181818,0.272727,,2026-04-28
3757,和宏,72,11,27,42,0.152778,0.375000,0.583333,,2026-04-28
3761,山本,80,14,29,39,0.175000,0.362500,0.487500,,2026-04-23
3769,佐竹,56,7,21,30,0.125000,0.375000,0.535714,,2026-04-11
3771,折下,66,8,20,32,0.121212,0.303030,0.484848,,2026-05-01
3772,一柳,69,5,16,36,0.072464,0.231884,0.521739,,2026-04-25
3773,津留,55,4,9,21,0.072727,0.163636,0.381818,,2026-05-02
3775,啓文,61,3,11,20,0.049180,0.180328,0.327869,,2026-05-01
3776,横井,57,1,8,10,0.017544,0.140351,0.175439,,2026-05-02
3777,樋口,99,31,51,61,0.313131,0.515152,0.616162,,2026-04-28
3778,安達,36,0,6,10,0.000000,0.166667,0.277778,,2026-04-13
3779,原田,79,19,29,37,0.240506,0.367089,0.468354,,2026-04-26
3783,瓜生,92,24,41,58,0.260870,0.445652,0.630435,,2026-05-01
3784,中島,63,8,17,29,0.126984,0.269841,0.460317,,2026-05-02
3787,天野,55,3,10,18,0.054545,0.181818,0.327273,,2026-04-28
3788,一宮,56,12,29,34,0.214286,0.517857,0.607143,,2026-03-18
3790,佐口,71,6,19,35,0.084507,0.267606,0.492958,,2026-05-02
3792,田中,65,13,31,45,0.200000,0.476923,0.692308,,2026-05-01
3793,高橋,46,4,10,21,0.086957,0.217391,0.456522,,2026-04-29
3796,長野,67,10,25,36,0.149254,0.373134,0.537313,,2026-04-23
3797,岩井,83,2,14,26,0.024096,0.168675,0.313253,,2026-04-13
3800,宏次,48,6,17,28,0.125000,0.354167,0.583333,,2026-04-28
3801,五反田,43,7,15,20,0.162791,0.348837,0.465116,,2026-04-27
3804,中渡,81,5,23,42,0.061728,0.283951,0.518519,,2026-04-28
3805,高橋,69,9,21,34,0.130435,0.304348,0.492754,,2026-04-26
3807,岡部,77,5,17,31,0.064935,0.220779,0.402597,,2026-04-28
3808,秋田,64,5,13,20,0.078125,0.203125,0.312500,,2026-04-27
